,wt_fe2_1,wt_fe2_2,wt_dpd_1,wt_dpd_2,delfur_fe2_1,delfur_fe2_2,delfur_dpd_1,delfur_dpd_2
b1179,678,556,726,609,672,615,662,828
b1180,646,503,1077,931,641,687,1113,1166
b1181,254,242,557,516,301,280,491,561
b1182,34,24,58,53,43,31,96,80
b1183,33,32,70,82,122,115,93,115
b1184,81,69,188,161,203,224,258,267
b1185,455,342,317,276,410,399,389,436
b1186,1347,1129,717,584,1781,1568,847,910
b1187,786,600,665,642,667,681,734,847
b1188,1379,1106,8251,8481,2407,2267,7434,7028
b1189,403,382,6689,5697,643,591,9788,8643
b1190,307,283,3776,3199,423,405,5582,5363
b1191,569,458,488,493,534,507,680,697
b1192,541,388,724,706,544,505,738,718
b1193,836,641,675,556,780,772,709,720
b1194,21,17,40,31,24,29,33,28
b1195,76,60,619,569,107,120,510,336
b1196,27,16,48,40,19,15,67,52
b1197,660,542,2492,2062,886,862,2507,2424
b1198,1645,1357,1010,977,1232,1135,1108,1163
b1199,558,483,416,324,416,416,428,399
b1200,1385,1215,910,915,1147,1067,937,1188
b1201,291,230,331,280,358,354,307,350
b1202,206,176,316,303,217,197,351,280
b1203,3677,3253,2194,1839,3721,3382,1843,1884
b1204,713,561,478,350,651,603,416,438
b1205,268,250,538,439,296,321,434,257
b1206,447,334,261,249,403,371,248,302
b1207,11155,9461,6389,5642,9962,9721,6060,6295
b1208,3612,3250,2656,2645,3658,2975,2524,3638
b1209,919,794,993,764,876,867,1135,997
b1210,974,781,930,814,914,824,968,944
b1211,746,669,598,605,768,613,661,773
b1212,192,174,129,145,166,155,137,169
b1213,63,56,41,41,104,86,36,37
b1214,793,663,848,815,785,784,775,766
b1215,3339,2717,4315,3904,3425,3169,3384,3451
b1216,752,602,456,362,1000,973,490,500
b1217,207,156,692,553,227,247,872,750
b1218,482,388,1362,1159,498,523,1393,1208
b1219,678,597,519,448,685,644,570,573
b1220,231,171,395,389,226,235,477,547
