,wt_fe2_1,wt_fe2_2,wt_dpd_1,wt_dpd_2,delfur_fe2_1,delfur_fe2_2,delfur_dpd_1,delfur_dpd_2
b2818,18137,15526,1804,1970,12889,12039,4392,5452
b2819,1077,800,904,1623,1036,863,1620,1698
b2820,3115,2764,1736,3313,3064,2895,3446,3507
b2821,1704,1375,1007,1775,2041,1977,2266,2197
b2822,2339,1841,1747,3188,2226,2087,3218,3109
b2823,119,101,41,135,115,84,151,178
b2824,51,48,12,80,57,54,71,64
b2825,66,66,22,86,43,58,70,51
b2826,11,12,8,18,25,12,19,15
b2827,3003,2646,1316,2803,2994,2828,2973,3416
b2828,2275,1862,825,1995,2312,2133,1975,2417
b2829,6722,5161,3763,7603,6000,5668,7362,8367
b2830,3245,2626,1405,2953,2806,2859,2814,3207
b2831,278,258,216,360,352,407,378,391
b2832,459,455,244,414,461,436,461,522
b2833,324,210,217,443,320,415,585,368
b2834,4550,3621,3900,6717,4942,4872,9511,7319
b2835,538,349,220,619,416,484,665,573
b2836,1890,1419,931,2066,1723,1669,1950,2097
b2837,730,582,472,844,692,668,958,959
b2838,2301,1680,598,816,1751,1792,1002,1171
b2839,281,252,145,199,253,254,256,248
b2840,680,627,606,835,768,710,826,966
b2841,252,226,94,236,227,274,229,218
b2842,109,106,62,110,110,117,141,108
b2843,62,40,33,57,62,72,46,45
b2844,975,860,152,271,1003,869,369,424
b2845,108,64,97,141,105,90,269,336
b2846,17,16,13,9,41,39,25,19
b2847,88,76,29,84,109,87,89,127
b2848,30,14,8,3,29,21,21,26
b2849,2,0,1,2,3,2,3,6
b2850,4,2,3,5,1,0,10,7
b2851,8,2,3,2,8,2,1,1
b2852,12,17,5,13,5,11,10,13
b2853,13,7,0,2,10,10,5,2
b2854,1,0,2,3,5,3,6,3
b2856,1,4,5,3,3,6,1,2
b2858,14,23,3,7,18,23,8,13
b2859,29,36,3,38,34,39,45,51
b2860,797,620,692,1905,788,785,1995,2088
b2861,513,492,341,1073,600,626,1089,1152
b2863,259,198,104,204,248,249,253,229
b2865,1144,953,528,620,1118,1109,1046,907
b2866,233,199,208,360,256,225,334,319
b2867,108,97,75,167,112,98,147,147
b2868,60,39,52,108,66,47,79,61
b2869,232,213,113,184,210,247,253,198
b2870,4,9,10,26,17,15,23,14
b2871,31,24,19,71,22,29,43,37
b2872,82,80,58,89,63,68,128,140
b2873,39,51,41,85,54,48,74,71
b2874,138,140,145,212,220,192,249,228
b2875,173,142,139,249,152,149,260,201
b2876,22,37,13,26,29,27,27,40
b2877,65,60,105,184,86,65,233,226
b2878,70,65,38,96,89,67,80,68
b2879,22,25,17,38,26,24,28,35
b2880,36,32,43,81,55,47,48,61
b2881,297,261,255,501,288,274,517,516
b2882,80,65,49,94,101,78,107,119
b2883,379,271,139,247,308,380,305,272
b2886,21,22,20,47,37,32,29,45
b2887,96,59,46,109,97,78,98,88
b2888,9,11,6,14,10,11,11,12
b2889,367,322,736,1099,687,622,1419,1011
b2890,18716,16660,7269,15003,16593,15024,16313,17025
b2891,13437,11338,6328,13198,12345,11511,13277,15124
b2892,3218,2563,2250,4604,2962,2846,4523,4610
b2893,1887,1655,1021,2415,1955,1818,2335,2749
b2894,1310,1171,910,1897,1233,1245,1721,2019
b2895,1239,974,458,821,1358,1235,907,886
b2896,812,618,195,405,457,432,540,460
b2897,1094,946,304,472,650,743,763,540
b2898,5699,4771,5219,8375,6538,6321,8475,7960
b2899,463,422,1574,3617,1218,1108,2746,2756
b2900,652,508,350,493,694,659,630,626
b2901,3422,2739,2104,3629,3760,3588,3874,4003
b2902,256,163,134,180,227,203,244,227
b2903,5464,4288,1048,2034,4282,3910,3645,3598
b2904,2759,2532,184,592,1704,1515,1131,1329
b2905,4877,4040,494,972,4115,3728,2364,2560
b2906,1856,1490,749,1485,1598,1504,1665,1802
b2907,1940,1513,1275,2895,1706,1594,3013,2826
b2908,6781,5403,3606,8020,6545,6247,8050,7445
b2909,3342,2943,1746,4250,3326,3126,3789,3942
b2910,2967,2444,3385,3348,2964,2980,4024,2879
b2912,484,398,367,523,556,521,578,597
b2913,56777,44062,21250,35559,51924,47629,38621,40243
b2914,8021,6771,4275,7488,8861,8308,6831,7086
b2915,30,22,16,34,26,25,39,52
b2916,2269,1854,1235,2101,2161,1987,2487,2218
b2917,70,75,48,105,78,83,109,93
b2918,31,42,33,47,40,19,59,62
b2919,64,52,32,85,70,63,106,83
b2920,76,70,43,103,89,85,74,69
b2921,168,114,70,128,154,140,152,157
b2922,4153,3599,5641,9555,5097,4847,8472,8795
b2923,404,310,252,431,406,427,515,562
b2924,11324,9771,18828,32670,17356,16826,31168,33977
b2925,36748,28857,21970,36727,32709,30862,35051,37272
b2926,24678,18773,18357,31590,22778,22313,28547,28883
b2927,5106,4254,1228,3846,4436,4311,4164,4393
b2928,796,576,284,568,727,691,653,639
b2929,602,517,267,693,586,572,737,817
b2930,34,25,22,68,28,32,67,81
b2933,27,22,13,32,21,23,24,16
b2934,1,7,2,1,3,4,2,4
b2935,26541,21467,7663,11886,23202,20795,13052,13626
b2936,963,789,883,1682,638,571,1763,1754
b2937,1544,1264,1228,2156,1660,1445,2446,2505
b2938,15244,12869,6059,12381,15926,14942,13356,14015
b2939,725,592,70,146,643,699,239,260
b2940,15,2,8,15,18,10,10,6
b2942,33854,28063,61700,99724,38850,36094,127934,134697
b2943,1389,1327,1179,2262,2156,2100,3359,3440
b2944,193,188,57,85,219,189,143,101
b2945,83,62,46,59,78,78,58,89
b2946,1578,1161,748,1770,1268,1292,1492,1822
b2947,3457,2861,1713,3357,2845,2606,3322,3785
b2948,2437,2015,1109,2405,2500,2470,2971,2762
b2949,935,783,390,1113,997,933,1345,1503
b2950,20,17,22,32,23,21,36,34
b2951,1546,1246,495,1003,1338,1324,1024,1060
b2952,1405,1256,429,1182,1477,1354,1021,1264
b2953,693,658,127,585,633,627,474,644
b2954,1631,1424,507,1257,1477,1374,1367,1095
b2955,1746,1403,679,1341,1517,1420,1423,1421
b2956,45,46,35,43,53,38,47,52
b2957,117,133,115,229,185,148,283,174
b2958,342,254,425,656,344,409,792,697
b2959,3008,2307,1773,2844,2854,2951,3150,2616
b2960,2425,1933,1362,2602,2472,2426,2870,2610
b2961,1900,1554,772,1651,1797,1783,2210,1932
b2962,1740,1406,684,1607,1982,1921,1880,1807
b2963,1594,1316,790,1495,1699,1656,1516,1666
b2964,426,354,272,493,488,494,513,457
b2965,2712,2346,858,1301,3225,2995,1687,1557
b2966,115,88,94,217,95,101,152,192
b2968,65,52,52,78,54,80,113,85
b2969,67,53,9,21,17,19,32,21
b2970,172,122,17,41,33,31,37,26
b2971,325,275,25,28,71,64,43,49
b2972,524,505,127,213,185,189,185,209
b2975,355,283,219,405,324,328,316,308
b2976,3441,3061,2041,4032,1967,1945,3562,3434
b2977,784,719,317,812,454,463,703,833
b2979,697,617,156,296,165,133,207,209
b2980,1080,874,268,411,671,670,466,504
b2981,50,28,31,41,41,52,59,51
b2982,48,30,20,15,39,26,25,21
b2983,29,23,20,40,32,16,30,36
b2984,29,16,10,23,19,10,30,31
b2985,22,23,18,45,35,21,34,42
b2986,13,8,5,2,15,7,7,6
b2987,33,30,32,68,43,52,102,83
b2988,5550,4544,5723,9964,4976,4768,9396,9606
b2989,2530,2047,4308,7352,3488,3390,8381,8114
b2990,71,56,54,131,100,79,125,107
b2991,82,60,35,164,62,51,160,138
b2992,301,206,92,381,263,271,354,351
b2993,398,283,196,648,377,334,564,584
b2994,571,455,279,611,465,438,547,567
b2995,102,42,8,54,53,25,51,39
b2996,168,166,27,42,74,44,54,51
b2997,249,216,53,80,116,98,85,110
b2998,26,28,15,20,42,34,35,28
b3001,449,387,437,910,525,482,925,913
b3002,2054,1738,651,887,2068,1964,1170,1383
b3003,827,652,3519,6795,1097,1059,7595,7351
b3005,2582,1931,3069,8563,9726,9114,9191,12052
b3006,4887,3366,7279,17725,17308,16195,18897,23132
b3008,4176,3142,7707,9479,4889,4646,28998,33351
b3009,783,657,734,1217,889,802,2665,2937
b3010,411,367,432,731,472,478,573,595
b3011,1546,1373,4346,7178,1726,1639,3007,2829
b3012,1931,1535,5028,8112,2403,2228,8133,7517
b3013,88,82,54,68,95,83,63,72
b3014,43,20,3,21,20,31,22,22
b3017,3148,2492,1042,1979,2216,2018,2060,2249
b3018,1444,1252,440,805,1269,1296,904,1014
b3019,4438,3790,2570,4311,4272,3947,4411,5091
b3020,641,550,158,266,556,490,317,317
b3021,673,534,331,699,600,648,641,509
b3022,873,731,195,503,651,619,495,432
b3023,349,230,201,642,345,333,470,504
b3024,2074,1584,3059,5301,2338,2501,4913,3340
b3025,280,184,106,206,237,206,175,152
b3026,380,347,243,557,422,375,453,479
b3027,0,2,3,5,4,1,2,1
b3028,1415,1142,1189,2839,1822,1713,1901,1783
b3029,2363,1956,1538,4040,2761,2535,2972,4082
b3030,3885,3157,2251,4463,3925,3777,4484,5053
b3031,1201,1064,538,1379,1357,1391,1489,1588
b3032,2696,2334,1751,4523,3512,3235,4535,4631
b3033,1376,1016,348,1678,1506,1352,1790,1951
b3034,1329,1068,1047,1924,1185,1300,2236,2108
b3035,15944,14255,9179,16713,19210,17257,17634,22350
b3037,4284,3510,2489,5959,4074,3791,5948,6972
b3038,4566,3942,2051,4559,4193,4002,4465,5041
b3039,204,164,170,379,209,170,341,362
b3040,1113,907,1657,2973,1290,1407,2681,2321
b3041,3293,2017,1102,2000,2370,1966,1715,1765
b3042,2386,2140,1196,1744,2682,2345,2113,1769
b3043,42,41,11,5,25,18,13,10
b3046,121,116,45,111,136,165,148,193
b3047,34,26,7,9,26,24,24,15
b3048,27,16,9,38,37,35,29,39
b3049,614,531,792,1328,808,815,1664,1783
b3050,23,21,9,18,56,31,12,24
b3051,60,73,40,66,92,112,82,72
b3052,1510,1107,986,1769,1483,1486,1992,1859
b3053,2501,1964,2778,4862,3016,2841,5182,4472
b3054,672,522,786,1379,766,784,1312,1256
b3055,1524,1246,1484,2290,2748,2445,3434,3290
b3056,2395,1733,2557,4898,2672,2655,5407,4934
b3057,902,741,282,375,706,788,533,497
