"","wt_fe2_1","wt_fe2_2","wt_dpd_1","wt_dpd_2","delfur_fe2_1","delfur_fe2_2","delfur_dpd_1","delfur_dpd_2"
"b0001",3568.40475992283,4769.24884565915,509.624946848959,515.871703547277,5382.89109416789,6229.76308399658,460.57682225497,365.902499217862
"b0002",1505.30782380025,1227.13933615187,2436.53016495256,2799.18299015733,1670.73954545,1736.89587664583,732.410470130172,888.818354431267
"b0003",1205.91302637138,1048.46845935813,1778.72013587315,2481.93978615386,1296.49791021031,1251.77567455714,550.653945237028,802.433471059299
"b0004",904.276142114753,824.434497897923,948.874934503044,1264.01826012138,823.195834908139,812.366926095312,289.277632611372,380.674960366409
"b0005",165.610805233165,124.00526035716,71.1186861721644,95.9872366702178,114.896898089345,95.4122228635433,42.1880584143566,39.174604422494
"b0006",81.7599873650391,74.0412476213894,95.3429173233515,119.490538194224,93.8866169820048,76.0158254752425,83.7352606013392,94.5326508262085
"b0007",6.12688019360436,7.58987175206084,9.0443456421615,5.82604095944118,6.37602898149439,10.324775178027,7.98123502252302,10.5979341852473
"b0008",1630.71246870194,1652.4970783955,1716.18201996466,1500.09791563374,1803.38802536171,1707.75690139157,1364.31482194433,1340.98567888375
"b0009",55.8596717141857,66.4300625742344,95.9518663465987,115.339502127923,63.9443178161075,67.582307943413,75.6767425361402,79.2803539416177
"b0010",23.1699624222925,21.0485316617011,14.5103266192425,8.39325015484886,10.0467358071082,6.00693853802871,14.0851936383399,14.3870114129089
"b0011",0,1.5200973914617,8.23363188784188,5.00073365869316,4.78870987840907,1.59064852662019,3.19695903559524,6.53092705896683
"b0013",0,0,2.90002305409209,2.93557025120329,5.62221274722904,2.80126526239763,2.81505629365837,0
"b0014",712.462250834387,731.001996358027,1502.14843786523,1447.8575319256,1478.10845788099,1515.0346687398,1033.86538259431,973.241780840835
"b0015",174.388763107714,164.182603857831,245.466969037887,241.105749589554,303.475322874502,313.464552401442,242.313679553067,173.254186908811
"b0016",64.9757294499478,57.5631135177842,66.5859871432383,67.4021686582387,63.5199009305428,59.2138190295685,61.5572453442709,41.9175300463311
"b0018",0,0,11.1602782934729,0,16.2271448486374,16.170336917537,5.41664860296349,0
"b0019",41.3144763739965,35.36048469693,118.950603146784,108.163699769508,52.7660069650041,60.3711037543434,145.799670743638,118.939197091651
"b0020",58.0398617678596,32.35444337615,45.43476030722,60.4462072893856,40.2666968092611,43.8875186093388,66.7854259392952,59.2067781062345
"b0021",4.34341209764428,2.1522170988022,0,0,4.52003638688117,2.25210632976918,2.26319377272336,2.31168952829766
"b0022",19.7962374486495,3.92371709348416,17.0023012268793,0,24.7214986502707,12.3174768577628,4.12603918853898,8.4289040562478
"b0023",5289.04666735592,5098.03379688538,1559.51202017527,1259.30424964827,4548.00944225659,4411.91879259009,1979.61132282419,1718.06510414424
"b0024",9.97010504231982,4.94031652225051,10.7037214541944,43.3396917086741,5.18776903494316,5.16960771151562,20.780233731369,10.6127564708211
"b0025",252.371587868689,275.463247868433,362.087714092049,413.289690021476,311.0460882669,299.102647656726,299.363176289129,330.537282659614
"b0026",469.352070586993,429.271080070355,765.859246561116,823.884771055242,522.458783575894,498.432368778848,613.636320069508,625.956796669686
"b0027",123.822272299778,120.519818385547,272.988057249112,314.780724557457,174.878020694052,155.922039040874,237.33875824235,188.290840611342
"b0028",136.177044480466,228.941497372585,159.250489928259,206.12780202906,172.082094817627,199.219028882797,119.106217728579,157.897108468314
"b0029",107.136738007281,109.600299317154,207.778122346127,167.759205826118,113.891147931,107.519151983203,170.476497313017,159.414304131031
"b0030",22.7483837755987,15.425005735411,11.5684325760398,6.50568516369289,24.9194145783296,23.5905679411957,6.23860728834769,7.64674592875756
"b0031",463.737085078983,427.880633907675,191.704561646204,131.78320595499,334.21083138844,422.865116815591,126.373110359055,127.662562650217
"b0032",1560.19139427467,1471.52697524495,114.669433317979,42.4917412187218,1084.73994968907,1037.42788492485,215.662686594687,265.964905642664
"b0033",1199.13481805922,1081.13684439148,103.384067287953,58.7970220279794,787.903488242221,797.495797134833,217.022236238871,268.397697777421
"b0034",127.074890463824,84.8689135560415,17.7945998986608,12.0084788109676,91.9946952292188,68.7544803949684,5.75774738148764,2.94056224632323
"b0035",1.8525533017824,1.83592843732283,1.98886716209694,4.02649162833965,3.85577428272802,1.92113800090108,3.86119207846384,1.97196488478095
"b0036",1.39353437694432,2.76205752196979,0,3.02882216515511,1.45020227152159,1.44512540855583,1.45223996852007,1.48335859185555
"b0037",8.46336891052229,9.78532147172448,2.27152931182261,7.66457570410635,8.07356981643887,2.19417433414811,5.87993751884397,3.75370807649621
"b0038",2.69904402294138,9.80768333375409,6.76116941733365,7.82176552576563,2.80880029783633,6.53092360601645,6.56307628103124,5.74603713760617
"b0039",14.3799591956536,5.70036521798136,4.11681594392094,2.08363902445549,6.98353523934656,9.94155329137619,4.99524849311756,10.2045735296357
"b0040",0.723424508347744,0.716932476843742,0.776655250634161,0.786175146430434,0,0,0,0
"b0041",1.4206108220922,0,3.05028331596215,1.54383616837893,1.47837977679727,0,2.96091413270802,1.51218032615326
"b0042",1.1630027090723,0,1.24857832445534,0,2.42059212659066,1.20605906313196,2.42399333027635,2.47593470157014
"b0043",0.851484126285078,0.843842884235336,0,1.8506855931499,0,0.883007528364469,0,0.906368953253355
"b0044",0,0,0,0,0,0,7.9094315240505,0
"b0045",0,0.815356065187631,0,1.78820933531664,0,0,0.857398991166764,0.87577135168066
"b0046",18.5533909622117,24.5158564262055,24.3449303751415,42.5657686424478,45.0516784613485,29.9293078035115,40.8183162580463,37.3042379707433
"b0047",20.592759878182,16.9094524742265,34.1094986254909,40.2821973633465,31.8390975105954,32.3377821439228,33.110136363823,38.8299351561158
"b0048",95.7627552921363,115.23981575811,100.361296795046,131.325573108924,102.029719481418,125.317309597239,116.429791904448,72.8110111303734
