"","wt_fe2_1","wt_fe2_2","wt_dpd_1","wt_dpd_2","delfur_fe2_1","delfur_fe2_2","delfur_dpd_1","delfur_dpd_2"
"b0001",4758.00098802836,5796.69315566075,537.388321733871,532.083178120162,5860.55151791965,7067.79932822612,424.928362443025,390.866399291858
"b0002",2075.03921465223,1727.60515524084,2730.64424211787,3102.55659133298,2139.47643903672,2121.47399924881,843.711706657638,1058.79524247271
"b0003",1618.67883666006,1457.32269543093,2089.0977020032,2827.97868352949,1613.79833972934,1577.02521239821,597.820706913845,952.22456306476
"b0004",1284.59565610596,1084.06952016916,1090.03427109421,1412.95465291168,1017.57299584184,1005.59800078768,336.254393640782,447.22375235692
"b0005",219.245721579103,191.007969147329,83.9151016652558,74.979014820175,157.994687466652,135.424242758872,40.5547298932064,45.4548404638183
"b0006",119.028761125477,124.694237866963,104.611243860451,102.131592686439,114.013152799971,114.048562295708,98.5799915389044,111.283537547698
"b0007",11.2129623490117,11.6366242721162,10.8333910087452,10.5189942955929,10.6265678979527,10.627502977447,13.0649362834138,10.8780543484291
"b0008",2242.29286365906,2337.79956559221,1942.78349305624,1604.11248465141,2148.13271589664,2127.27237590352,1560.6743833252,1476.77144391775
"b0009",84.1343075053417,89.9162929686533,90.2194195747423,85.8866657047185,90.7562838575571,74.7456539752627,80.2977825817459,78.5748784361816
"b0010",29.9752054441709,32.2420984050589,14.6752936010835,14.1438496068442,19.4634923037618,19.6165101487635,22.504469899433,13.3150138600439
"b0011",4.25914113628244,2.99975624800548,6.63866039980637,4.3890442398861,6.36666765937944,6.08135235312851,5.6883517050315,4.26258329104757
"b0013",1.70470550405393,3.25096736237047,2.28121695824177,2.47343182779788,2.24244698347601,2.67744269241803,1.14487585337017,0.834085126737552
"b0014",961.809777114272,1010.73643132093,1663.23819821734,1627.39627652431,1826.15622594918,1886.3829658389,1164.71479698988,1163.16519440484
"b0015",245.173396018555,225.471961450129,283.906720416092,288.423017971017,355.142588607431,378.111910262083,266.08047571683,220.573762644124
"b0016",80.7669268437761,84.1224283551987,68.4861671954014,68.9607891737651,85.2290891206232,89.1637687289024,71.4545385055605,63.1274158548004
"b0018",2.62411539202236,1.56385396815452,7.13285729004741,2.37965242200459,6.78047950453884,7.08380276323397,9.91321414268862,3.74481821514711
"b0019",58.9004941813375,58.9036040650734,133.415059767993,127.568623000429,65.8104432359509,72.4772045949093,150.827591662227,132.014918649583
"b0020",62.2670468215052,60.028198347629,49.652938131609,61.7253502825701,61.5177131674202,59.0262462582633,67.6473944143485,66.0849232388246
"b0021",2.19282513947215,2.61364900816319,2.06325910035035,2.73424419379835,2.57548366419027,4.03604603881827,3.68173937796664,3.12933324117244
"b0022",24.4862175434289,22.6335399217742,7.52307469802835,12.2354511264984,15.494741972466,12.7540997568433,7.13170861007302,12.2252188251064
"b0023",7191.68035034318,7122.44011790585,1755.36201590352,1432.42504056032,5452.7848574048,5352.142269021,2059.67702321844,1882.74520960135
"b0024",6.29191304223543,11.9990249920219,18.4182346458042,29.66993906163,8.27666795719328,6.17637348364614,21.1281634758313,22.0628153675518
"b0025",345.247877473415,367.764390065656,396.054824808974,439.010542979776,348.670781023528,352.164633582912,332.471705003034,412.614747733094
"b0026",631.348148793734,611.70331098434,878.024864514126,915.168679127733,634.432654940366,631.230630247359,673.806973588701,713.007616975034
"b0027",211.261128639897,214.549098584666,303.434050040323,336.340601071626,191.9462280856,207.655653655813,246.701126552978,263.309687905881
"b0028",215.766578960561,242.17544343654,189.18799907955,199.562348097455,211.67506204111,218.131434251698,169.282968336843,146.418003290049
"b0029",155.870249147143,157.014552350959,200.898055212218,210.309906608072,134.023895447288,128.886381960204,169.790981798159,173.232121248742
"b0030",26.445267699352,31.3402481369132,8.0888566379577,6.98893005272692,23.428185187626,24.772921592703,8.49970331969851,8.99585698189503
"b0031",659.312977840077,577.352842872501,227.886090184504,170.521034947157,427.007680999303,455.190470567525,167.176914404148,170.073639613104
"b0032",2172.86566369178,2079.40494628046,111.34223239794,51.0838950800239,1301.86332100344,1262.14997752242,234.935991693211,315.866345148877
"b0033",1664.2002626183,1514.2114303072,115.1611121881,63.2891191587671,944.573217328245,942.560969104961,238.358854502936,300.113127842767
"b0034",150.974215718727,126.337341225823,9.91496186762259,5.05900917927425,60.9358137474539,64.6885666120924,7.61039641572765,8.81426986156073
"b0035",4.67642185571552,4.45909712541356,1.36892284529626,2.12038285913416,5.05308154722466,4.82007525244007,4.31842530502633,2.47877325389685
